(37.7749, -122.4194)
(34.0522, -118.2437)
(40.7128, -74.0060)
(51.5074, -0.1278)
(48.8566, 2.3522)
(35.682839, 139.759455)
(41.8781, -87.6298)
(52.5200, 13.4050)
(55.7558, 37.6176)
(19.4326, -99.1332)
(-33.8651, 151.2099)
(25.276987, 55.296249)
(-22.9068, -43.1729)
(-34.6118, -58.4173)
(37.5665, 126.9780)
(29.7604, -95.3698)
(32.7157, -117.1611)
(34.0522, -118.2437)
(51.5074, -0.1278)
(48.8566, 2.3522)
(35.682839, 139.759455)
(41.8781, -87.6298)
(52.5200, 13.4050)
(55.7558, 37.6176)
(19.4326, -99.1332)
(-33.8651, 151.2099)
(25.276987, 55.296249)
(-22.9068, -43.1729)
(-34.6118, -58.4173)
(37.5665, 126.9780)
(29.7604, -95.3698)
(32.7157, -117.1611)
(34.0522, -118.2437)
(51.5074, -0.1278)
(48.8566, 2.3522)
(35.682839, 139.759455)
(41.8781, -87.6298)
(52.5200, 13.4050)
(55.7558, 37.6176)
(19.4326, -99.1332)
(-33.8651, 151.2099)
(25.276987, 55.296249)
(-22.9068, -43.1729)
(-34.6118, -58.4173)
(37.5665, 126.9780)
(29.7604, -95.3698)
(32.7157, -117.1611)
(34.0522, -118.2437)
(51.5074, -0.1278)
(48.8566, 2.3522)
(35.682839, 139.759455)
(41.8781, -87.6298)
(52.5200, 13.4050)
(55.7558, 37.6176)
(19.4326, -99.1332)
(-33.8651, 151.2099)
(25.276987, 55.296249)
(-22.9068, -43.1729)
(-34.6118, -58.4173)
(37.5665, 126.9780)
(29.7604, -95.3698)
(32.7157, -117.1611)
(34.0522, -118.2437)
(51.5074, -0.1278)
(48.8566, 2.3522)
(35.682839, 139.759455)
(41.8781, -87.6298)
(52.5200, 13.4050)
(55.7558, 37.6176)
(19.4326, -99.1332)
(-33.8651, 151.2099)
(25.276987, 55.296249)
(-22.9068, -43.1729)
(-34.6118, -58.4173)
(37.5665, 126.9780)
(29.7604, -95.3698)
(32.7157, -117.1611)
